UPC,r_squared,n_obs,Intercept,C(MONTH)[T.2],C(MONTH)[T.3],C(MONTH)[T.4],C(MONTH)[T.5],C(MONTH)[T.6],C(MONTH)[T.7],C(MONTH)[T.8],C(MONTH)[T.9],C(MONTH)[T.10],C(MONTH)[T.11],C(MONTH)[T.12],LOG_PRICE,FEATURE:C(MONTH)[1],FEATURE:C(MONTH)[2],FEATURE:C(MONTH)[3],FEATURE:C(MONTH)[4],FEATURE:C(MONTH)[5],FEATURE:C(MONTH)[6],FEATURE:C(MONTH)[7],FEATURE:C(MONTH)[8],FEATURE:C(MONTH)[9],FEATURE:C(MONTH)[10],FEATURE:C(MONTH)[11],FEATURE:C(MONTH)[12],DISPLAY:C(MONTH)[1],DISPLAY:C(MONTH)[2],DISPLAY:C(MONTH)[3],DISPLAY:C(MONTH)[4],DISPLAY:C(MONTH)[5],DISPLAY:C(MONTH)[6],DISPLAY:C(MONTH)[7],DISPLAY:C(MONTH)[8],DISPLAY:C(MONTH)[9],DISPLAY:C(MONTH)[10],DISPLAY:C(MONTH)[11],DISPLAY:C(MONTH)[12],TPR_ONLY:C(MONTH)[1],TPR_ONLY:C(MONTH)[2],TPR_ONLY:C(MONTH)[3],TPR_ONLY:C(MONTH)[4],TPR_ONLY:C(MONTH)[5],TPR_ONLY:C(MONTH)[6],TPR_ONLY:C(MONTH)[7],TPR_ONLY:C(MONTH)[8],TPR_ONLY:C(MONTH)[9],TPR_ONLY:C(MONTH)[10],TPR_ONLY:C(MONTH)[11],TPR_ONLY:C(MONTH)[12]
1111009477.0,0.25013189977000505,9550.0,3.115125126453646,-0.16887254406879076,-0.13690298974009513,-0.26402704352167744,-0.22684042934900417,-0.2995036726134532,-0.33865726727520246,-0.1811174517281338,-0.09249247946485695,-0.03332996454746542,0.027001589966144376,0.19591138966341237,1.992527856945499,0.49793693262390487,-3.013129063844739e-16,0.6757922439413111,-2.066361770283267e-16,-0.15304917259698375,7.832904747126087e-17,-7.256212176536095e-17,-1.1145168424358673e-16,0.5888418181171107,8.495306918855584e-17,2.0383115292306444e-16,0.6341532985972436,0.684900753097505,0.6879448065527362,0.5417033228881055,0.7480315730519987,0.7390061370933056,0.7308023218075486,0.8407134770209126,0.7151089483205803,0.5266760904051159,0.46494248318116704,0.4327872590696108,0.6229096560623145,0.26167932759324386,0.38185366625065637,-0.0037561357869465148,0.6453327533113797,0.4153292454812656,0.3865129808967755,0.4304032577476969,0.2040290359865643,-0.4102080896614036,0.7650727981439126,0.4589838817797275,0.4576601642455153
1111009497.0,0.26519003001314323,9568.0,3.040318883224602,-0.08555118723074095,-0.08919693310397214,-0.12852403461665474,-0.17143126945376364,-0.17775150016159902,-0.20333059387105373,-0.10783646393910183,-0.06641698599542195,-0.003091727999702233,0.02227742443424769,0.04956557246156461,1.4070662274683454,0.4593429645664888,-2.1242154799398293e-15,0.7070897935119607,-2.156092026632327e-17,-0.4023139286272661,1.1831472458304834e-16,2.7806131167267343e-16,1.3530836638289005e-16,0.49237086416034276,-5.211245747818516e-17,-1.1385792105236576e-16,0.526236177497353,0.7897093805466703,0.7858796888723685,0.6669808349442998,0.7508969755870819,0.7951602618917573,0.6833313805904412,0.7907471723101126,0.6963303158901053,0.6513180321129386,0.5788711985038815,0.5147534512817168,0.7432935976146252,0.29683691101176923,0.23799247556709702,0.051615959548867996,0.4161459041422393,0.5171071950633808,0.4596389053747257,0.4249494386698471,0.26208230079403794,0.8576445580004783,0.9096269112211808,0.5308357860394994,0.4104007544093604
1111009507.0,0.257189635891793,9032.0,2.078343998559343,-0.13453085302434012,-0.09624743745117653,-0.14942262782337,-0.22682990665918312,-0.1490775417019049,-0.05420762318112467,-0.1164645822316742,-0.11403589632112535,-0.02558365087070346,-0.012650661172620144,0.013705798765390614,2.518776562721731,0.7110237045846451,-9.65793910087998e-16,1.2293856821732156,4.471073547125953e-16,0.19721754019628668,-2.745845840678071e-16,2.66511042386059e-16,4.2035363972217636e-16,0.6938692097006184,2.3817106547515576e-16,-2.0541413639256522e-16,0.9980955825713962,0.9070422511365929,0.6732896352637912,0.5254261843502785,0.6428379250251848,0.8650973281527687,0.5712390319505154,0.7289039837394468,0.7053860744080612,0.6259396611383429,0.6463989125605851,0.6414770928415202,0.7929909747697131,0.3621736732717242,0.19458341780125887,0.21423096820073653,0.3694370066039121,0.6447838126703198,0.8185211967529129,0.23835083516524777,0.11033603340484774,-0.47050215224477526,0.5430054542282856,0.562024122277653,0.6465260639473549
1111035398.0,0.067674075962455,7714.0,2.115613833025011,0.0215934485402662,0.028440809967447633,0.040277693174850915,0.024012531419423232,-0.044092022653799696,-0.047778357527107754,-0.02997551546862822,0.050268878343825325,0.058315092455031095,0.040823275355414856,-0.13464135169042662,-1.050407816057853,-6.192961775723197e-16,-1.165606567153262e-16,1.5918120917772596e-16,6.971950515542167e-18,2.626137904319405e-16,1.9622062862555958e-16,-1.260909329943194e-16,-6.615931952042086e-17,6.808110540456081e-17,-1.4359984207504355e-16,-1.532416707445016e-16,-1.0078813166116949e-16,-0.21547720411202176,-0.29810348974240053,0.4764993742130973,0.004295880444863959,0.5137121672960664,0.41718259493147125,-0.10357967665525261,0.3050557901764512,-0.10185522958174029,-4.4750315374769036e-17,0.19653861703817402,0.5849412967681611,0.17271904095170504,-0.07496926034030188,-0.16484789250631657,-0.2436159120529929,-0.38529971528909596,-0.022704336409563906,-0.07108343074688779,-0.2919300582123906,-0.4513412864579972,-0.80460940295901,-0.8014399894619214,-0.8261928145456243
1111038078.0,0.24757124799537622,8998.0,2.1873594049232086,-0.08471745267380579,-0.0855610302892249,-0.03446660421894017,-0.21204959049338645,-0.19874311992274665,-0.44511789688260234,-0.17204706139616718,0.07548919262416846,0.05478477712870142,-0.039656530112180316,-0.06946303995653641,-1.2063072950464977,0.427046202449127,8.249996265420545e-16,-5.283969518821715e-15,0.4435879324310158,0.4893544904473646,0.36122112858770994,-5.131776688044559e-16,0.3085268846279169,0.1826508457892918,0.34684288284724285,-8.971917320010256e-17,-2.373692660032887e-16,0.4426322499478037,0.19018833003955382,0.01751785208287657,0.4349626320754962,0.392655994963219,0.18918631799721844,0.3280331459316834,0.5936484098145558,0.25515815294521504,0.11759127369194432,-0.1664082359432677,-0.32592966863788475,-0.28717246308813843,0.08450810172966668,-0.8477199800995537,-0.14614618106743432,-0.050697160092045196,-0.06499901314123502,0.1696820461520118,0.4327626553039775,-0.35693947027424927,-0.21388565602359647,-0.6225067070986353,-0.2911067011862317
1111038080.0,0.24201573242912844,8537.0,1.89304371594939,-0.09606393453832372,-0.08213355445261555,-0.12060740087694803,-0.07736163717725814,-0.03907339541464442,-0.048488412740994795,-0.0383877662566586,0.07109979257777539,0.00811728001424014,-0.1148118984298089,0.12839524741426595,-1.0369036940856964,0.8033554017533235,-7.18652119601391e-16,-1.0824425039519739e-15,0.7814091123351056,0.3711678688524162,0.45486693647018783,3.9572047746806924e-16,0.15512548295565962,-0.016567922544033553,0.6496321377887385,5.44627275637136e-16,-3.26797258324737e-16,0.5026085227201323,0.28844559587834245,-0.13256331789574347,0.4437178618755929,0.5342023240210517,0.12687501103717025,0.24226964165706272,0.38946791148971743,0.4486428247162914,0.28775266897142815,0.21330264957179773,-0.2818999701348725,-0.31197320059835887,-0.013414813470712052,-1.0380065583406404,0.10781601161499602,-0.06650800646849937,-0.00036779158093240246,-0.112846992246544,-0.19467866734417394,-0.14700648070518454,-0.48563236211022676,-1.0339554427730313,-0.5684669847972876
1111085319.0,0.11932365742332929,9567.0,2.554712993052134,-0.0030566127499198014,-0.2922383956799187,-0.14781473911865214,-0.3061670577265899,-0.15670722186813982,-0.10740166943036657,-0.031995786497974174,-0.03902602740539606,0.0827534042077109,-0.16506464208419824,-0.24627579193975915,0.411720438016756,2.1154311500058838e-16,-2.7188404627120355e-16,0.06437362674808574,3.4817379112319214e-16,0.7623415127047942,-3.0388935964950116e-17,-2.2128845486551716e-16,0.4620844867988585,-5.110212578144218e-16,-0.6275703986202704,4.448705165318277e-17,-0.8130230550849185,-0.592572364734787,-1.4861570086627828e-16,1.0287791160022723,1.003963196868321,0.6038122756691832,1.0934223248728399,1.4407400844546894,0.7411048660635,1.2184244169416214,0.9935618265574254,-1.315422059367848e-16,1.8572105531633403e-16,-0.5415673274421439,0.3582533898280374,0.5496314456435115,0.8308912353258527,0.7871667602798406,0.7619437879234466,-0.6313689292974825,0.5288193344071755,0.43510986679700286,0.00860126625764488,0.754421253795299,0.7488980921052362
1111085345.0,0.09972661078421408,9584.0,3.3320956822469854,0.12608668222347896,0.022237586346012583,-0.023172356864687438,-0.06950974885074879,0.01845636249752103,0.09525105663631903,0.15490052074084532,0.13474041682926785,0.18017317329639948,0.028051695287532343,-0.11467765588224296,-0.3044267936267908,-6.915051996564405e-16,-3.130867037189324e-17,0.1253644746711884,3.975216677110479e-16,0.3462415020473384,7.648269504081202e-16,9.341049582195045e-17,0.36431225027278535,-1.1936966059386708e-16,-0.31050477140737887,7.41153461508571e-17,-0.36946943258548515,-1.350096664774036e-16,0.9964815194550944,0.6805174224307384,0.6496101734861037,0.4615843966368012,0.5763096333540423,-0.12131367183440057,0.36513979413013853,0.6049284308000467,-2.1498935810822466e-16,-0.2968327364104152,0.3059950559114888,-2.540869422944905e-24,0.25234743158686146,0.3095082865997613,0.5514941679507823,0.4043526174337386,0.42382939966154043,0.0,0.3463911001462562,0.19373484752263656,-0.06455478551319815,0.5288954304880893,0.3445525455907411
1111085350.0,0.128222670396551,9570.0,3.0014509900467323,-0.3278531669659238,-0.5172910420486885,-0.5680802307993933,-0.35914401173905997,-0.29975192676341494,-0.7079090197274694,-0.3776701392349409,-0.5339797066048817,-0.5921813910665142,-0.40393632555343956,-0.18324262331311356,0.7705020458560607,-9.139802875990928e-16,7.319792383812422e-16,-2.1952943822498978e-15,-4.77352206125488e-16,0.4622347658802609,0.8780500457006561,9.818426658164766e-17,0.5629100911281282,-4.96654308209752e-17,0.5980396461783274,-7.55553974795877e-17,-0.24610908867151948,0.5561001274083308,-6.20831759169406e-17,-5.639329976281091e-17,1.4391572358769515,0.7058703799434315,0.6191664678096476,1.8408538663635239,0.3647430157297775,1.424808087042372,1.584129293098551,2.3562107124074126e-16,0.794783678069179,-0.2898728652278858,-0.20459176608500115,0.5589048144636157,0.8069431717550651,0.19160749804843974,-0.05794423962065802,1.1525479817225326,-0.5563994076735571,0.7085695582076827,0.8709621335393625,0.34839965717104604,-0.2939398548457732
1111087395.0,0.29611038816063695,9318.0,4.055573574851231,0.03514296255147175,-0.21553996856027594,-0.04078520678567961,-0.00020800942909744447,-0.14346249695804725,-0.06628278365982893,-0.039876515723979926,-0.1215616823974548,-0.2348520422410758,0.015471999205415001,0.12420277616506374,-1.5134539982038668,0.5466969015867593,0.08552115693157004,9.35552564149595e-16,0.6024383130078106,0.3117485193977307,-1.7753814821167894e-16,3.356552993111396e-16,0.19646145957258726,1.5916286226770076e-16,4.884354935433364e-16,-2.207017183259634e-16,0.3367973028294082,0.8570176823760559,0.8587107110539702,0.8877093966192495,0.7249759991749941,0.5526857049784586,1.1269102656633954,1.3180962177232682,0.7778567370626919,1.0977309811073526,1.066623353674659,1.1536781673837668,0.7051811240965998,0.6634227144979483,0.5073035657350862,0.1180250736300934,0.3077558610620242,-0.2734760240876238,-0.11992408593987795,-0.03343729058909995,0.03517579492390125,-0.5718471223076205,0.15730838698472385,-0.0681628246514727,0.08682442889742373
1111087396.0,0.28160966863967485,9255.0,4.254705509284752,-0.003213603656345958,-0.29253830060866265,-0.01659378747723108,0.00948090832377419,-0.19158380412851442,-0.06167752224869746,-0.0009709157387830711,-0.14455565295396125,-0.27939400587059426,-0.1645359041309549,0.16776047063501875,-1.6337671145032455,0.5807685053911482,0.07444816942531085,1.0287106323524331e-15,0.5915361140153543,0.19594149447410647,-7.016745701590588e-17,-6.790365310683813e-16,0.07238026015359474,7.448656251040435e-16,5.339840665191139e-16,-3.7783956614783987e-16,0.29544072966626794,0.7104731063508243,0.9093351344575054,0.9753527986138169,0.5644375656488501,0.636897402963674,1.0465298735341535,1.2964816677699897,0.9001235869539111,0.9534662400103865,1.1129133942006157,0.9410573133184026,0.6937487506207788,0.27789700583187665,0.4743920720398955,0.029710806782978737,0.004642923533692016,-0.15484444378994042,-0.11359918010844618,-0.08634565713230347,-0.10474133435901721,-0.7536570431508205,0.07806961020635188,-0.010113696200051918,-0.13743817203882266
1111087398.0,0.2743885850651461,9468.0,3.4998818797585582,-0.036064684656189505,-0.3418047057359853,0.015072849250263753,-0.043233739141600114,-0.13723584748306805,-0.028546042765117186,-0.0965446112544212,-0.1475675611716512,-0.29404536560810973,-0.0022619771752393943,0.19283142622656604,-0.8950795749007665,0.5509562954334071,0.16658925124565216,1.824736377642883e-16,0.5865008384660121,0.2760951944524349,3.7871400797871084e-17,8.022384064722053e-17,0.27789584514650306,-3.1051304509080083e-16,2.1193774265661005e-16,4.516743911031144e-16,0.26594748691991243,0.8964415133309098,0.8510695747035038,1.0070795067080325,0.7500510718018111,0.45066249239675243,0.9181525342318878,0.9804378623053241,0.8624922103433045,1.091509153626251,1.2233686813347215,1.0829297169874683,0.7849937654895434,0.6962910482598574,0.5129868781034671,0.3038785310370238,0.16389094745487776,0.07249111661446639,-0.08569919355825695,0.11402934700727592,0.3793804632061875,-0.11463374784846643,0.3629898452055481,0.18939282808899666,-0.3322208455332205
1600027527.0,0.4128900875518633,9588.0,5.365424330986693,0.04900112239574472,-0.34314156504498117,-0.08356080413360545,-0.05624666207047313,-0.14229126080361998,-0.22880946376774225,-0.1890760381282819,-0.12300388665989168,-0.1291110997574767,-0.11385248682215286,-0.1947670261260614,-1.4175985985702697,-7.286667091327797e-17,0.5602807803200727,1.1994369596579505e-15,0.6276261968427286,0.47769379661849376,7.900169665951869e-16,-1.300399039397963e-16,-2.4210359279213933e-16,0.5946899698572912,7.081942697891617e-17,0.5335602104704484,0.9493713547420348,-0.023913507129226297,0.6825455368489042,0.214573241458067,-0.20930528569800255,0.3395807645461094,0.10994405644108018,-6.59306164809444e-16,-0.5373968989404995,0.35901991282742074,0.44605385133632336,0.7256240067746966,0.040727133610433064,-0.8504608807885425,-0.1982276000085601,-0.3585048932743209,-0.8062937229479982,-0.1802316389909001,-0.6533891123869985,-0.9012234455392709,-0.06152211455051959,-0.09471633068390722,-0.0960174393097368,-0.183672679177971,-0.06038940654508054
1600027528.0,0.3579067242917575,9586.0,1.5150945987752713,0.24500068549632528,0.017973356510575356,0.13113061554959182,0.06799599891606667,0.15137436613996536,0.126332586411155,0.1467476312604388,0.002887246610598127,0.10029911444387801,0.05130146518923223,-0.039890426454183746,0.9366012409283612,2.430889805877102e-16,0.781359346004698,1.8989726211836877,7.9955415533967945e-16,-2.1224216739019234e-16,1.7668563225554967,1.3459600630167985,2.6733070559551946,4.3783103765777664e-17,-6.801715258237529e-17,4.706333671192126e-17,-4.9309231903869765e-18,-0.22125201781771275,1.1367376410104797,0.24183514306724266,-0.557464579360521,-1.1157439898736091e-17,0.3584531145619736,0.6979371822757631,0.18415161809944722,0.6487356701462426,1.223571792491284e-16,-2.7948558660236606e-17,1.1067556748862531e-16,0.21136537123554364,1.070622809097515,0.5591249667239303,-0.04889616399318748,-0.7056517106041921,-0.010432035345155195,0.2636120394725543,0.1314805429110721,0.1995680533027773,0.17871044402478922,-0.146238260765453,0.01592971350926657
1600027564.0,0.21054058407219867,9584.0,4.090955280380559,-0.031075442424506994,-0.07534388802038938,0.07877785394816805,-0.09433841611935667,-0.06423112162833448,-0.03794987978674427,-0.11706058381203506,-0.09101684131145008,-0.004926847787330636,-0.042372674738732144,-0.25606185222819694,-0.7086542963508504,0.4265718024850178,-3.2539558672887305e-15,1.4202438303915886e-16,0.40659754701615913,0.776930745156222,1.9657202892726393e-16,1.5375171847139605e-15,0.04514358295816934,4.498602466804194e-16,0.7351382700499547,0.888164995349608,0.48874808776673506,0.3462397745651895,0.03272758239377982,-0.10383919187754809,0.3966817344959186,0.2770446671817859,0.3311376510872407,0.5725441240098912,0.9076045609603763,-0.8534257568248635,0.29737488750284746,0.5569895806479246,0.6595941874505536,-0.5558154152317396,-0.061913393867581906,-0.03928943060803303,-0.3413456909527338,0.12124639758821287,0.11423628669576669,-0.5473714839600509,0.10572372780605643,-0.21969769826035693,-0.6134927696519111,-0.07501532981692088,0.1708671419020005
2066200530.0,0.15028283935100628,4084.0,7.994504515102941,0.21250387495264855,-0.009844510140580659,-0.10561313002262318,-0.04940394982603091,0.1650033871768214,0.04897227298612683,0.11910482613125195,0.11749608038087822,0.03292303018683729,0.25503952711745836,-0.024926950428387218,-3.6638231565294688,-4.253033586731817e-16,1.564164694421819e-16,3.0042591283372857e-16,1.57401304651287e-16,-2.244115544480476e-16,8.674761609244985e-17,-0.4010987921919653,-3.731450917152421e-16,-5.736968784431343e-16,6.373103068118213e-16,6.802293726763918e-18,-3.844799609728881e-18,-9.569153978396412e-17,-9.610835044989942e-17,-0.43920165557569163,0.2791248954105811,-1.7729875330336937,0.3336767350550687,0.33905378712991885,-0.08278283131038999,-0.8602750468670798,0.0,0.0,0.0,0.47995696738920424,0.0,0.0,0.0,-2.3404134989459386,-1.0421872996406591,-0.7391984146858908,-0.7958877223287043,0.0,0.0,0.0,-0.03691675993105248
2066200531.0,0.11902825983554688,3045.0,7.748861003430107,0.2741790471545682,-0.07530252858610785,-0.178920727124957,-0.17369415991328438,-0.056541720472609545,-0.12351395104890725,-0.01042764048991407,-0.07775346470862174,-0.036249328467528895,0.15180900695705585,-0.05858759068813099,-3.456761919990609,9.691464482906816e-19,-3.5061796706201825e-16,6.917402527476559e-17,1.9937738967111136e-16,6.797157154965391e-16,1.762302573082497e-16,-0.10302530323413658,-6.358975952999514e-18,2.730597058809796e-16,-1.1233276439268677e-16,4.2045406728253355e-18,-2.9377609625276736e-17,-1.345978779624056e-16,0.0,0.5832532909483946,-1.1048879797408142,-2.7493467351244916,0.04024021189989454,0.058950904929522825,-0.18069026542809652,0.0,0.0,0.0,0.0,0.0,0.0,-1.690234559955362,0.0,0.0,-0.38360789314667654,-0.44587829476927754,-1.4668790774435092,-0.09004786708707352,0.0,0.0,-0.07586378409981237
